
    Command          Description 
    -------          -----------
    alert            Make alert show up on device.
    dial             Dial a phone number.
    ipod             Control music player.
    kill             Terminate or signal a process.
    killall          Kill process by name.
    lastapp          Open last opened application.
    open             Open application.
    openurl          Open URL on device.
    say              Convert text to speach.
    vibrate          Vibrate device.
