
    Command          Description 
    -------          -----------
    alert            Make alert show up on device.
    chwall           Change desktop wallpaper.
    close            Close application.
    imessage         Send message through the messages app.
    itunes           Control iTunes player.
    keyboard         Control keyboard.
    kill             Terminate or signal a process.
    killall          Kill process by name.
    open             Open application.
    say              Convert text to speach.
