
    Command          Description 
    -------          -----------
    cat              Concatenate and print files.
    cd               Change current directory.
    chflags          Change flags on file.
    chgrp            Change files groups.
    chmod            Change permissions.
    cp               Copy files or directories.
    date             Display current date.
    du               Display disk usage statistics.
    echo             Write arguments to standard output.
    hash             Display last executed commands.
    head             Display first new lines of file.  
    ls               List contents of a directory.
    mkdir            Create directories.
    more             Read contents of a file.
    mount            Mount file systems.
    mv               Move files or directories.
    netstat          Show network status.
    ps               Show process status.
    pwd              Show current directory.
    read             Read user input.
    rm               Remove files or directories.
    rmdir            Remove directories.
    time             Display current time.
    touch            Create files.
    trap             Configure signals.
